Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li
1C,,,1D,,,2C,,,2D,,,5C,,,5D,,,10C,,,10D,,
3.724780884,15.00645723,0.945431065,4.279171143,15.00203384,0.156828804,3.643747559,15.00629275,0.850928248,4.264799194,15.001889,0.176766953,3.654755859,15.00610367,0.856733614,4.23269165,15.00187167,0.216272047,3.682582397,15.00566447,0.864402294,4.197526245,15.00152338,0.271613311
3.724780884,15.2565644,0.944521584,4.276724854,15.25206674,0.157738014,3.644053345,15.25639812,0.850018774,4.262047119,15.2519212,0.177676161,3.655367432,15.25620394,0.855824158,4.231468506,15.25190372,0.217181255,3.682888184,15.25576029,0.863492855,4.196608887,15.25155993,0.272522535
3.724780884,15.50667153,0.943612104,4.273972778,15.50209968,0.158647225,3.644664917,15.50650325,0.849109301,4.260212402,15.50195251,0.178585366,3.655673218,15.50630516,0.854914699,4.229939575,15.5019346,0.218090458,3.68319397,15.50585591,0.862583416,4.196303101,15.50155083,0.273431592
3.725392456,15.75677789,0.942702626,4.271526489,15.75213319,0.159556438,3.645276489,15.7566071,0.848199832,4.257766113,15.75198411,0.179494572,3.655979004,15.75640727,0.854005237,4.228410645,15.75196524,0.21899966,3.683805542,15.75595054,0.861673981,4.195079956,15.75158738,0.274340816
3.725392456,16.00688527,0.941793144,4.268774414,16.00216679,0.160465651,3.645582275,16.00671007,0.847290367,4.255931396,16.00201565,0.180403777,3.656590576,16.00650775,0.853095781,4.226881714,16.00199556,0.219908861,3.684111328,16.00604652,0.860764541,4.194162598,16.00162393,0.27525004
3.725392456,16.25699214,0.940883665,4.266633911,16.25219935,0.16137486,3.646193848,16.25681345,0.8463809,4.253790894,16.25204663,0.181312981,3.656896362,16.25660995,0.852186318,4.225658569,16.25202609,0.220818063,3.684417114,16.25614128,0.859855106,4.193245239,16.25166048,0.276159264
3.725698242,16.50709922,0.939974185,4.264187622,16.50223192,0.16228407,3.646499634,16.50691847,0.845471427,4.251956177,16.50207742,0.182222184,3.657507935,16.50671139,0.851276859,4.223823853,16.50205809,0.221727271,3.685028687,16.50623623,0.858945669,4.192633667,16.50168181,0.277068432
3.726004028,16.75720742,0.9390647,4.262047119,16.75226546,0.163193282,3.647416992,16.75702338,0.844561955,4.249509888,16.75210932,0.183131391,3.658425293,16.7568129,0.850367399,4.222600708,16.75209009,0.222636478,3.685334473,16.75633186,0.858036231,4.192022095,16.75168792,0.277977546
3.726309814,17.00731432,0.938155221,4.25960083,17.00229846,0.164102493,3.647722778,17.00712872,0.843652481,4.248286743,17.00214021,0.184040594,3.658425293,17.00691513,0.849457936,4.221071777,17.00212227,0.223545686,3.685946045,17.0064273,0.857126793,4.19079895,17.00172447,0.278886769
3.726309814,17.25742169,0.937245739,4.257154541,17.25233203,0.165011706,3.648334351,17.25723364,0.842743009,4.24614624,17.252172,0.1849498,3.659036865,17.25701741,0.848548473,4.220154419,17.25215346,0.22445489,3.686557617,17.25652262,0.856217355,4.190493164,17.25176102,0.279795993
3.727227173,17.50752865,0.936336259,4.25562561,17.50236493,0.165920917,3.648945923,17.50733795,0.841833538,4.244311523,17.50220495,0.185859011,3.659342651,17.50712009,0.847639009,4.218625488,17.50218468,0.225364094,3.686863403,17.50661778,0.855307918,4.189575806,17.50178235,0.280705162
3.726921387,17.75763556,0.93542678,4.253179321,17.75239766,0.166830127,3.649557495,17.75744268,0.840924067,4.242782593,17.75223776,0.186768221,3.659648438,17.75722291,0.846729544,4.217402344,17.7522166,0.226273301,3.687474976,17.75671338,0.85439848,4.188658447,17.7518189,0.281614385
